sample_id,sample,era,location,individual_key,K2,K3,K4,admixedness,max_prop,dominant_cluster,conflict_flag,missing_extraction,missing_library,missing_decode,admixedness_rank,tissue_subsampling_flag,tissue_subsampling_min_p,tissue_subsampling_min_metric,extraction_order_flag,extraction_order_min_p,extraction_order_min_metric,extraction_plate_flag,extraction_plate_min_p,library_plate_flag,library_plate_min_p,dilution_plate_flag,dilution_plate_min_p,index_duplicate_flag,seq_name_duplicate_flag,decode_mismatch_flag,generode_mismatch_flag,lab_notes_flag,lab_notes,evidence_count,evidence_sources,evidence_flag,admixedness_percentile,candidate_flag
OchACat019,OchACat019.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat019,0.0859396,0.9139609,9.96e-5,0.086039100000000035,0.9139609,K3,NA,FALSE,FALSE,FALSE,0.6173285198555957,FALSE,0.19,period2_corr,FALSE,0.422,period3_corr,TRUE,0,TRUE,0,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3,extraction_plate;library_plate;dilution_plate,TRUE,61.7,FALSE
OchACat020,OchACat020.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat020,0.0927496,0.9071505,1e-4,0.09284950000000004,0.9071505,K3,NA,FALSE,FALSE,FALSE,0.6353790613718412,FALSE,0.19,period2_corr,FALSE,0.422,period3_corr,TRUE,0,TRUE,0,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,extraction_plate;library_plate,TRUE,63.5,FALSE
OchACat021,OchACat021.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat021,0.1114994,0.8821653,0.0063353,0.11783469999999996,0.8821653,K3,NA,FALSE,FALSE,FALSE,0.7545126353790613,FALSE,0.19,period2_corr,FALSE,0.422,period3_corr,TRUE,0,TRUE,0,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3,extraction_plate;library_plate;dilution_plate,TRUE,75.5,TRUE
OchACat022,OchACat022.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat022,0.1074245,0.8894494,0.0031262,0.11055060000000004,0.8894494,K3,NA,FALSE,FALSE,FALSE,0.7148014440433214,FALSE,0.19,period2_corr,FALSE,0.422,period3_corr,TRUE,0,TRUE,0,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,extraction_plate;library_plate,TRUE,71.5,FALSE
OchACat023,OchACat023.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat023,0.0734178,0.9262874,2.948e-4,0.07371260000000002,0.9262874,K3,OcA0102311B,FALSE,FALSE,FALSE,0.5306859205776173,FALSE,0.19,period2_corr,FALSE,0.422,period3_corr,TRUE,0,TRUE,0,TRUE,0,FALSE,FALSE,TRUE,FALSE,FALSE,NA,4,extraction_plate;library_plate;dilution_plate;decode_mismatch,TRUE,53.1,FALSE
OchACat024,OchACat024.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat024,0.109219,0.8616838,0.0290971,0.1383162,0.8616838,K3,NA,FALSE,FALSE,FALSE,0.8447653429602888,FALSE,0.19,period2_corr,FALSE,0.422,period3_corr,TRUE,0,TRUE,0,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2,extraction_plate;library_plate,TRUE,84.5,TRUE
OchACat025,OchACat025.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat025,0.078574,0.9204159,0.0010102,0.07958410000000005,0.9204159,K3,NA,FALSE,FALSE,FALSE,0.5776173285198556,FALSE,0.19,period2_corr,TRUE,0.049,adj_abs_diff_mean,TRUE,0,TRUE,0,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,extraction_order;extraction_plate;library_plate;dilution_plate,TRUE,57.8,FALSE
OchACat026,OchACat026.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat026,0.08048820000000001,0.9194118,1e-4,0.0805882,0.9194118,K3,NA,FALSE,FALSE,FALSE,0.5848375451263538,FALSE,0.19,period2_corr,TRUE,0.049,adj_abs_diff_mean,TRUE,0,TRUE,0,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,extraction_order;extraction_plate;library_plate;dilution_plate,TRUE,58.5,FALSE
OchACat027,OchACat027.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat027,0.07249,0.9274101,1e-4,0.072589899999999985,0.9274101,K3,NA,FALSE,FALSE,FALSE,0.5270758122743683,FALSE,0.19,period2_corr,TRUE,0.049,adj_abs_diff_mean,TRUE,0,TRUE,0,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,NA,4,extraction_order;extraction_plate;library_plate;dilution_plate,TRUE,52.7,FALSE
OchACat028,OchACat028.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,OchACat028,0.0925623,0.907338,9.98e-5,0.09266200000000002,0.907338,K3,NA,FALSE,FALSE,FALSE,0.631768953068592,FALSE,0.19,period2_corr,TRUE,0.049,adj_abs_diff_mean,TRUE,0,TRUE,0,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3,extraction_order;extraction_plate;library_plate,TRUE,63.2,FALSE
