sample_id,sample,era,location,cluster,prop
OchACat040,OchACat040.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0873511
OchACat040,OchACat040.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9091052
OchACat040,OchACat040.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,0.0035437
OchACat041,OchACat041.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K2,0.0823338
OchACat041,OchACat041.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K3,0.9175662
OchACat041,OchACat041.merged.rmdup.merged.realn.rescaled.bam,Historical,Cat,K4,9.99e-5
OchATum001,OchATum001.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.09273730000000001
OchATum001,OchATum001.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.876946
OchATum001,OchATum001.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.0303167
OchATum002,OchATum002.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.11178070000000001
OchATum002,OchATum002.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.879118
OchATum002,OchATum002.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.0091013
OchATum003,OchATum003.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.1089417
OchATum003,OchATum003.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.8867778
OchATum003,OchATum003.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.0042804
OchATum004,OchATum004.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.0883466
OchATum004,OchATum004.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.4844446
OchATum004,OchATum004.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.4272088
OchATum005,OchATum005.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.034028800000000005
OchATum005,OchATum005.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.0067001
OchATum005,OchATum005.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.9592711
OchATum006,OchATum006.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.0878021
OchATum006,OchATum006.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.7682712
OchATum006,OchATum006.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.1439266
OchATum007,OchATum007.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.0463353
OchATum007,OchATum007.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.0673862
OchATum007,OchATum007.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.8862786
OchATum008,OchATum008.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.065842
OchATum008,OchATum008.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.5310016
OchATum008,OchATum008.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.4031563
OchATum009,OchATum009.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.029359
OchATum009,OchATum009.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.2394798
OchATum009,OchATum009.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.7311612
OchATum010,OchATum010.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.048139299999999996
OchATum010,OchATum010.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.6260305
OchATum010,OchATum010.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.3258302
OchATum011,OchATum011.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.022487299999999998
OchATum011,OchATum011.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.3012813
OchATum011,OchATum011.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.6762314
OchATum012,OchATum012.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.0363689
OchATum012,OchATum012.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.3207257
OchATum012,OchATum012.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.6429054
OchATum013,OchATum013.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.0519258
OchATum013,OchATum013.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.2080349
OchATum013,OchATum013.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.7400394
OchATum014,OchATum014.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.11241140000000001
OchATum014,OchATum014.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.8595538
OchATum014,OchATum014.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.0280348
OchATum015,OchATum015.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.12189069999999999
OchATum015,OchATum015.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.871089
OchATum015,OchATum015.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.0070203
OchATum016,OchATum016.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.0399247
OchATum016,OchATum016.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.0076717
OchATum016,OchATum016.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.9524037
OchATum017,OchATum017.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.0627322
OchATum017,OchATum017.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.0087969
OchATum017,OchATum017.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.9284708
OchATum018,OchATum018.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.0859139
OchATum018,OchATum018.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.6180989
OchATum018,OchATum018.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.2959872
OchATum019,OchATum019.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.2134612
OchATum019,OchATum019.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.7798111
OchATum019,OchATum019.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.0067278
OchATum020,OchATum020.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.1744182
OchATum020,OchATum020.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.8220931
OchATum020,OchATum020.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.0034888
OchATum021,OchATum021.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.17476529999999998
OchATum021,OchATum021.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.824769
OchATum021,OchATum021.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,4.658e-4
OchATum022,OchATum022.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.1680838
OchATum022,OchATum022.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.8314481
OchATum022,OchATum022.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,4.68e-4
OchATum023,OchATum023.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.12369430000000001
OchATum023,OchATum023.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.8576064
OchATum023,OchATum023.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.0186993
OchATum024,OchATum024.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.1152263
OchATum024,OchATum024.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.879817
OchATum024,OchATum024.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.0049567
OchATum025,OchATum025.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.035319500000000004
OchATum025,OchATum025.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.5647496
OchATum025,OchATum025.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K4,0.3999309
OchATum026,OchATum026.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K2,0.1116866
OchATum026,OchATum026.merged.rmdup.merged.realn.rescaled.bam,Historical,Tum,K3,0.8767865
