sample_id,sample,era,location,n_clusters,prop_sum,prop_sum_diff
OchCBur054,OchCBur054.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999999,-9.999999994736442e-8
OchCBur055,OchCBur055.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1,0
OchCBur056,OchCBur056.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999999,-9.999999994736442e-8
OchCBur057,OchCBur057.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999999,-9.999999994736442e-8
OchCBur058,OchCBur058.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1.0000001,1.0000000005838672e-7
OchCBur059,OchCBur059.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1,0
OchCBur060,OchCBur060.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999999,-9.999999994736442e-8
OchCBur061,OchCBur061.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1.0000001,1.0000000005838672e-7
OchCBur062,OchCBur062.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1,0
OchCBur063,OchCBur063.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1,0
OchCBur064,OchCBur064.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1,0
OchCBur065,OchCBur065.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999998,-2.0000000000575113e-7
OchCBur066,OchCBur066.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1.0000001,1.0000000005838672e-7
OchCBur067,OchCBur067.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1.0000001,1.0000000005838672e-7
OchCBur069,OchCBur069.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999999,-9.999999994736442e-8
OchCBur070,OchCBur070.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999999,-9.999999994736442e-8
OchCBur071,OchCBur071.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999998999999999,-1.0000000005838672e-7
OchCBur072,OchCBur072.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999999,-9.999999994736442e-8
OchCBur073,OchCBur073.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1,0
OchCBur074,OchCBur074.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999999,-9.999999994736442e-8
OchCBur076,OchCBur076.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1.0000001,1.0000000005838672e-7
OchCBur077,OchCBur077.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1,0
OchCBur078,OchCBur078.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999999,-9.999999994736442e-8
OchCBur079,OchCBur079.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999998999999999,-1.0000000005838672e-7
OchCBur080,OchCBur080.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999999,-9.999999994736442e-8
OchCBur082,OchCBur082.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999998999999999,-1.0000000005838672e-7
OchCBur083,OchCBur083.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999998999999999,-1.0000000005838672e-7
OchCBur084,OchCBur084.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999998999999999,-1.0000000005838672e-7
OchCBur086,OchCBur086.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999999,-9.999999994736442e-8
OchCBur087,OchCBur087.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,1,0
OchCBur088,OchCBur088.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999999,-9.999999994736442e-8
OchCBur089,OchCBur089.merged.rmdup.merged.realn.bam,Contemporary,Bur,4,0.9999999,-9.999999994736442e-8
OchCCat001,OchCCat001.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat002,OchCCat002.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1.0000001,1.0000000005838672e-7
OchCCat003,OchCCat003.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat004,OchCCat004.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat005,OchCCat005.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,0.9999999,-9.999999994736442e-8
OchCCat006,OchCCat006.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,0.9999998999999999,-1.0000000005838672e-7
OchCCat007,OchCCat007.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,0.9999998999999999,-1.0000000005838672e-7
OchCCat008,OchCCat008.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat009,OchCCat009.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1.0000001,1.0000000005838672e-7
OchCCat010,OchCCat010.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,0.9999998999999999,-1.0000000005838672e-7
OchCCat011,OchCCat011.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,0.9999999,-9.999999994736442e-8
OchCCat012,OchCCat012.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat013,OchCCat013.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1,0
OchCCat014,OchCCat014.merged.rmdup.merged.realn.bam,Contemporary,Cat,4,1.0000001,1.0000000005838672e-7
